Model,RMSE_KFold,MAE_KFold,R2_KFold,RMSE_Test,MAE_Test,R2_Test,OverfitGap_RMSE
Rf,66.103 ± 1.575,48.831 ± 1.159,0.853 ± 0.003,56.460,42.615,0.904,-9.643
Xgb,22.150 ± 0.529,15.882 ± 0.159,0.984 ± 0.000,15.313,11.711,0.993,-6.837
Stack,12.198 ± 0.688,8.797 ± 0.168,0.995 ± 0.000,4.667,3.758,0.999,-7.532
