Model,RMSE_KFold,MAE_KFold,R2_KFold,RMSE_Test,MAE_Test,R2_Test,OverfitGap_RMSE
Rf,0.453 ± 0.078,0.315 ± 0.047,0.998 ± 0.001,0.520,0.371,0.997,+0.068
Xgb,0.439 ± 0.069,0.314 ± 0.041,0.998 ± 0.001,0.522,0.378,0.997,+0.083
Stack,0.448 ± 0.081,0.317 ± 0.049,0.998 ± 0.001,0.522,0.384,0.997,+0.075
