Model,RMSE_KFold,MAE_KFold,R2_KFold,RMSE_Test,MAE_Test,R2_Test,OverfitGap_RMSE
Rf,0.811 ± 0.027,0.634 ± 0.020,0.972 ± 0.003,0.817,0.634,0.972,+0.006
Xgb,0.532 ± 0.014,0.422 ± 0.014,0.988 ± 0.001,0.510,0.403,0.989,-0.022
Stack,0.811 ± 0.027,0.634 ± 0.020,0.972 ± 0.003,0.817,0.634,0.972,+0.006
