Model,RMSE_KFold,MAE_KFold,R2_KFold,RMSE_Test,MAE_Test,R2_Test,OverfitGap_RMSE
Rf,2.030 ± 0.038,1.543 ± 0.010,0.902 ± 0.009,1.704,1.309,0.942,-0.326
Xgb,1.581 ± 0.017,1.152 ± 0.016,0.941 ± 0.004,1.299,0.871,0.966,-0.282
Stack,1.608 ± 0.032,1.189 ± 0.014,0.939 ± 0.006,1.345,0.939,0.964,-0.263
