Model,RMSE_KFold,MAE_KFold,R2_KFold,RMSE_Test,MAE_Test,R2_Test,OverfitGap_RMSE
Rf,0.597 ± 0.012,0.409 ± 0.007,0.734 ± 0.012,0.592,0.401,0.721,-0.005
Xgb,0.553 ± 0.014,0.381 ± 0.006,0.772 ± 0.014,0.550,0.375,0.759,-0.003
Stack,0.618 ± 0.012,0.424 ± 0.007,0.715 ± 0.012,0.615,0.419,0.698,-0.003
