rf,rf,rf,xgb,xgb,xgb,stack,stack,stack
rmse,mae,r2,rmse,mae,r2,rmse,mae,r2
0.24366149756745734,0.2171632663416555,0.13557149630473686,0.22722959483627359,0.20040900855615223,0.24822989950834062,0.24254854057575798,0.20308759542721944,0.14345025072341466
0.2920482417762955,0.22450227166808798,0.583567346721173,0.2696502715786201,0.20827220549128997,0.6449926799141121,0.27553905830056463,0.21927562973848516,0.6293176363311999
0.353468530653397,0.2873084956026499,0.5605603529754,0.31757593992672445,0.2363176981557056,0.6452740893283174,0.33160947999648416,0.2627910400567608,0.6132310484014214
0.27584939987265206,0.21676845485423238,0.5871848980470193,0.27899934960980544,0.22255552507143625,0.5777031213048199,0.2650894337027689,0.20802885812359106,0.6187618754133873
0.21118011831555913,0.16659876635712273,0.4065347858822542,0.20182789201060153,0.15631737498724896,0.45793473539944607,0.24188777253130522,0.19668011359143867,0.22139526462238046
0.4133414105711069,0.3212394334766905,0.2785625402905425,0.43984615652596526,0.33814206149712395,0.1830744916396968,0.44940351669339806,0.34608847942541415,0.14718704818546524
0.40119544844889476,0.29148767891139266,0.23882451902584934,0.3926975879236875,0.3245863246677119,0.27072846395704175,0.4277751680033174,0.3181462497990662,0.1346258127259966
0.2565646885532641,0.2193502569738683,0.5262002996959421,0.2943973257129986,0.23631084498808164,0.37616643795613103,0.26913224811533515,0.22215025609053182,0.4786462602946583
0.42273305760620966,0.33432782624001856,0.258182753462183,0.38336646761015036,0.2996470819744746,0.3899116235735176,0.37874535914204627,0.30308902180303243,0.404531017484859
0.2642091190604782,0.20894619491123084,0.4497009349045934,0.24332112263281858,0.19269213860687684,0.5332731433318827,0.25786957221067947,0.2026243228758496,0.475792333071707
