rf,rf,rf,xgb,xgb,xgb,stack,stack,stack
rmse,mae,r2,rmse,mae,r2,rmse,mae,r2
0.7596055053294186,0.5959369838079331,0.9740400837886894,0.5083993084330434,0.402603519924278,0.9883711443054957,0.7595337043068029,0.5958874301081853,0.9740449912318923
0.824801813618094,0.6576381072150984,0.9717846253321376,0.525459991384724,0.41502960070372463,0.9885484066980283,0.8247438217204445,0.6575914616387513,0.9717885928442598
0.7987212122451741,0.6254852755618553,0.9762634679347643,0.5385054709921444,0.4324912202030757,0.9892103571018233,0.7983587590614014,0.6251988688926217,0.9762850059367971
0.8356172179642452,0.6559175675596283,0.967687567179936,0.5573368010855431,0.443417453074275,0.9856255797240923,0.8355139687867896,0.6558498720766487,0.9676955517592996
0.7897397298530382,0.618900405399416,0.973976688632423,0.5421666301566688,0.4276336293436822,0.9877352090074318,0.7897247320126513,0.6188981763689735,0.97397767703341
0.8426218012544953,0.6401991760667437,0.965376236810535,0.5128008422127146,0.39622664129198754,0.9871765068152974,0.8425044556772178,0.6401177679301641,0.9653858797192872
0.8311978888207725,0.6517179078754098,0.971975668284359,0.5244182371203082,0.4146215122966426,0.9888446814994867,0.8310069717506482,0.6515469119577372,0.9719885405712594
0.7854098658926698,0.6120069865894542,0.9741951356655468,0.5146756159201099,0.41446381626425377,0.9889190738284807,0.7853919219696662,0.6119876898943831,0.9741963147574564
0.8015208207163893,0.6286591397311542,0.9723061094931162,0.5342193178942765,0.4244179000409839,0.9876974955389964,0.8013584450813974,0.628528834418906,0.972317329058343
0.8418480379626355,0.6536004395478615,0.9690119874655856,0.5474819232668058,0.43171493413544704,0.9868941291687325,0.8418302618801985,0.6536002088236489,0.9690132961094853
