Model,feature,importance
Rf,feature_0,0.07208104265559935
Rf,feature_0*feature_1,0.2858912884649171
Rf,feature_1,0.06805020605101021
Rf,feature_2**2,0.04648546540315001
Rf,feature_2**2-feature_2,0.10396911483615388
Rf,feature_3,0.3042424611462663
Rf,feature_4,0.1192804214429031
Xgb,feature_0,0.09103436022996902
Xgb,feature_0*feature_1,0.25912272930145264
Xgb,feature_1,0.08911457657814026
Xgb,feature_2**2,0.031372830271720886
Xgb,feature_2**2-feature_2,0.08610053360462189
Xgb,feature_3,0.33401522040367126
Xgb,feature_4,0.10923980921506882
