rf,rf,rf,xgb,xgb,xgb,stack,stack,stack
rmse,mae,r2,rmse,mae,r2,rmse,mae,r2
0.5790378133142464,0.39876678445760083,0.7567591517125067,0.5328735268696748,0.3733934400362296,0.7939982318408361,0.5989311518396105,0.41290821681897577,0.7397585544319085
0.5762373372404513,0.39960239921660107,0.7514383109619613,0.5212759140455724,0.3660383927247393,0.7965926140891642,0.6013484400281692,0.4172386739518785,0.7293027904398068
0.6038826489960002,0.4126279186759958,0.7321224348650356,0.5507487965283296,0.3801172688655986,0.7771881146428136,0.6271742580008388,0.4294358713282235,0.7110599861855829
0.5944269721868481,0.40522315760674577,0.7350733491411983,0.5596868154568249,0.383633088165546,0.7651347377166209,0.612215959392633,0.41904430866699865,0.718979548010666
0.6007293500179773,0.411013904790097,0.7172043838673612,0.5563946398626519,0.38553590641285546,0.7574055584300201,0.6230541470791026,0.42682531234328874,0.6957948563504441
0.5972988688678137,0.4044791075409642,0.7284951315626276,0.5641133227032691,0.3824211238778138,0.757826315072273,0.6169073813446508,0.41930653580226956,0.7103762515159155
0.5955693317803672,0.4141795706755221,0.7386370756110265,0.5507753596613585,0.3857395974470456,0.7764738519763816,0.6195117031109708,0.4307057065753742,0.7172006814939089
0.5961474202649572,0.4065074103093401,0.7282081241886236,0.5622898035715056,0.38278651107509737,0.7582037564932127,0.6128570468851111,0.41952909014462686,0.712758291372827
0.6189209252796258,0.41385767756237657,0.7197338540588526,0.5706583396879119,0.38378341437097385,0.7617391723184388,0.6420113547726789,0.43079423298299635,0.6984316724402453
0.6064467539765072,0.42109503514629354,0.7309383279189624,0.559067029701215,0.3890912800820412,0.7713378686629535,0.6225210198637119,0.43391838701900437,0.7164859893238058
